Geo Point;Geo Shape;ins_nom;ins_com;ins_insee;eqt_nb;objectid;ins_id;ins_interc;ins_partic
48.896310001,3.26535999982;"{""type"": ""Point"", ""coordinates"": [3.265359999824191, 48.896310000970566]}";TERRAIN DE TENNIS;Boitron;77043;1;946;770430001;des Deux Morin;Non
48.5725500008,2.85820999938;"{""type"": ""Point"", ""coordinates"": [2.858209999375852, 48.572550000766135]}";PARCOURS DE SANTE;Bombon;77044;1;948;770440002;Brie des Rivières et Châteaux;Non
48.8802000011,2.90397000022;"{""type"": ""Point"", ""coordinates"": [2.903970000219827, 48.88020000114952]}";PLATEAU EPS;Bouleurs;77047;1;951;770470001;Pays Créçois;Non
48.341820001,2.70888999996;"{""type"": ""Point"", ""coordinates"": [2.708889999959631, 48.341820000965036]}";SKATE PARK;Bourron-Marlotte;77048;1;955;770480005;Pays de Fontainebleau;Non
48.9257000005,2.9336299997;"{""type"": ""Point"", ""coordinates"": [2.933629999696425, 48.92570000052957]}";GOLF DE MEAUX-BOUTIGNY;Boutigny;77049;2;957;770490001;Pays Créçois;Non
48.699330001,2.59534999997;"{""type"": ""Point"", ""coordinates"": [2.595349999973958, 48.69933000103806]}";GYMNASE BLAISE PASCAL;Brie-Comte-Robert;77053;5;980;770530020;L'Orée de la Brie;Non
48.8474866829,2.7127233307;"{""type"": ""Point"", ""coordinates"": [2.712723330704449, 48.847486682932065]}";GOLF DE BUSSY SAINT GEORGES;Bussy-Saint-Georges;77058;3;992;770580010;Marne et Gondoire;Non
48.360700001,2.98319000012;"{""type"": ""Point"", ""coordinates"": [2.983190000119766, 48.360700001030594]}";DOJO;Cannes-Écluse;77061;1;1006;770610002;Pays de Montereau;Non
48.4697480026,2.62036200153;"{""type"": ""Point"", ""coordinates"": [2.62036200153204, 48.469748002642554]}";CENTRE ÉQUESTRE ET PONEY CLUB D'ULYSSE;Chailly-en-Bière;77069;5;1020;770690003;Pays de Fontainebleau;Non
48.1778443347,2.79972099762;"{""type"": ""Point"", ""coordinates"": [2.799720997622514, 48.17784433465821]}";ECURIE DE LA BROSSE;Chaintreaux;77071;3;1025;770710002;Gâtinais Val de Loing;Non
48.5422546693,3.46529033368;"{""type"": ""Point"", ""coordinates"": [3.465290333683936, 48.54225466932868]}";TERRAINS DE SPORTS;Chalautre-la-Grande;77072;3;1026;770720001;Provinois;Non
48.852200001,2.6124300006;"{""type"": ""Point"", ""coordinates"": [2.612430000600132, 48.85220000104596]}";ENSEMBLE SPORTIF DE PLEIN-AIR DES DEUX PARCS;Champs-sur-Marne;77083;3;1054;770830010;Paris – Vallée de la Marne;Non
48.8658350054,2.596179992;"{""type"": ""Point"", ""coordinates"": [2.596179992004144, 48.86583500538701]}";BASE DE LOISIRS;Champs-sur-Marne;77083;4;1061;770830018;Paris – Vallée de la Marne;Base de plein air et/ou de loisirs
48.8491850007,2.58496400018;"{""type"": ""Point"", ""coordinates"": [2.584964000179589, 48.84918500069884]}";CAPS GYM;Champs-sur-Marne;77083;1;1064;770830021;Paris – Vallée de la Marne;Non
48.8594250011,2.74876000021;"{""type"": ""Point"", ""coordinates"": [2.748760000214826, 48.85942500105087]}";CLUB BELINANN;Chanteloup-en-Brie;77085;4;1069;770850004;Marne et Gondoire;Non
48.5517300011,2.89997999979;"{""type"": ""Point"", ""coordinates"": [2.89997999978682, 48.55173000106809]}";PARC DU CHÂTEAU;La Chapelle-Gauthier;77086;1;1070;770860001;La Brie Nangissienne;Non
48.5548200005,2.89274999977;"{""type"": ""Point"", ""coordinates"": [2.892749999768262, 48.554820000540936]}";TERRAIN DE FOOTBALL;La Chapelle-Gauthier;77086;1;1071;770860003;La Brie Nangissienne;Non
48.3210100025,2.5724775008;"{""type"": ""Point"", ""coordinates"": [2.572477500798714, 48.32101000254377]}";COMPLEXE MUNICIPAL;La Chapelle-la-Reine;77088;4;1075;770880001;Pays de Fontainebleau;Non
48.4890100011,2.69189000049;"{""type"": ""Point"", ""coordinates"": [2.691890000485027, 48.48901000108798]}";SALLE POLYVALENTE;Chartrettes;77096;1;1084;770960002;Pays de Fontainebleau;Non
48.1480300018,2.70745000294;"{""type"": ""Point"", ""coordinates"": [2.707450002941135, 48.148030001769065]}";TENNIS DES GAUTHIERS;Château-Landon;77099;5;1089;770990004;Gâtinais Val de Loing;Non
